id,transaction_id,transacted_at,payment_action_type,user_id,amount
50df1872dc3b11e9a1e3509a4c8d0e6f19080,3120268,2019-12-21 15:44:53,PAYMENT,3c9c23defcaedf5,900
dfe058efdc7f11e9b6a3509a4c8d0cf318080,3144456,2019-12-21 23:55:38,PAYMENT,3c9c23defcaedf5,900
cf51358ee5c311e9b253509a4c8d0e6f18080,3863601,2020-01-03 18:54:37,PAYMENT,3c9c23defcaedf5,3600
8f372f4ee59f11e9b253509a4c8d0e6f18080,3849471,2020-01-03 14:35:08,PAYMENT,3c9c23defcaedf5,3600
95f7716d088711eab874509a4c8d103b19080,6740655,2020-02-17 00:41:42,PAYMENT,a457f210e06c56a,5900
c11dce7308ff11eab489509a4c8d103b18080,6775484,2020-02-17 15:01:53,PAYMENT,c32611ac600010a,1200
d53c29e4dd2c11e99909509a4c8d0caf18080,3198857,2019-12-22 20:33:43,PAYMENT,860e64065c6beea,1200
d89f77efefd611e9817c509a4c8d0e6f19080,4645872,2020-01-16 14:36:05,PAYMENT,2bab4db367ce142,2500
e0a00d14da8d11e9a02c509a4c8d103b18080,2988139,2019-12-19 12:30:51,PAYMENT,e1fb46322ceb311,22000
59d21680da9a11e991c4509a4c8d0caf19080,2992174,2019-12-19 14:00:08,PAYMENT,ce973a22d928c86,2500
107cfc5408e911eaa48d509a4c8d0e6f18080,6766555,2020-02-17 12:19:28,PAYMENT,3c9c23defcaedf5,3600
f340eb7b091611eaab71509a4c8d0caf19080,6784203,2020-02-17 17:47:56,PAYMENT,3c9c23defcaedf5,1200
3127a4a008f611eaa48d509a4c8d0e6f18080,6771668,2020-02-17 13:53:27,PAYMENT,3c9c23defcaedf5,3600
28815584dd1f11e99909509a4c8d0caf18080,3194114,2019-12-22 18:55:51,PAYMENT,65d5be58f3cc143,2500
0fea8ef5dbbe11e9ac26509a4c8d103b19080,3084335,2019-12-21 00:48:17,PAYMENT,ce4397ce29089df,2500
31baf7d9fab211e99a38509a4c8d0cf319080,5537619,2020-01-30 10:11:25,PAYMENT,1e8bd2adc3a16f6,2500
75b14d11f00411e9817c509a4c8d0e6f19080,4660994,2020-01-16 20:02:35,PAYMENT,f60f7d27bf84152,2500
2b18d02bde5a11e9a963509a4c8d103b18080,3281000,2019-12-24 08:30:46,PAYMENT,4d45cfeac2e7855,2500
8aab6aeadce211e9a02c509a4c8d103b18080,3171715,2019-12-22 11:41:56,PAYMENT,9408463db1ca261,6000
bb12e734ede611e9bfcf509a4c8d103b18080,4511226,2020-01-14 03:24:45,PAYMENT,3c9c23defcaedf5,3600
41ecb69cedd511e9bfcf509a4c8d103b18080,4506179,2020-01-14 01:19:40,PAYMENT,3c9c23defcaedf5,2400
5cd46524ee6d11e99131509a4c8d0cf319080,4544501,2020-01-14 19:28:28,PAYMENT,3c9c23defcaedf5,1200
4fd87073e38911e99dae509a4c8d0e6f19080,3672395,2019-12-31 22:50:50,PAYMENT,1ff3b756fc8ef1b,11500
372db169faa511e99a38509a4c8d0cf319080,5533745,2020-01-30 08:38:31,PAYMENT,f60f7d27bf84152,3300
a5c06609dc7311e9a02c509a4c8d103b18080,3139879,2019-12-21 22:28:07,PAYMENT,29930470b50a61a,1200
64b98d3cdc1011e9ac26509a4c8d103b19080,3104824,2019-12-21 10:37:38,PAYMENT,627bb3ef1ce3d1c,9600
a4a4bddadf9d11e9bc56509a4c8d103b18080,3372858,2019-12-25 23:06:18,PAYMENT,a5533c62e88a626,5900
b00bef57dee511e9bc56509a4c8d103b18080,3325627,2019-12-25 01:09:29,PAYMENT,a5533c62e88a626,19100
c6a6ae46df2f11e988a5509a4c8d0cf318080,3339093,2019-12-25 09:59:50,PAYMENT,a5533c62e88a626,5900
a559c628fddb11e9adec509a4c8d0caf19080,5817544,2020-02-03 10:45:42,PAYMENT,3c9c23defcaedf5,3600
023dd76cfe4011e9af73509a4c8d0e6f19080,5852747,2020-02-03 22:44:08,PAYMENT,ce973a22d928c86,2500
caa3846807ff11eab874509a4c8d103b19080,6690236,2020-02-16 08:29:38,PAYMENT,025b58c8685756c,2500
428256d1080811eaa48d509a4c8d0e6f18080,6692690,2020-02-16 09:30:15,PAYMENT,025b58c8685756c,1100
fcadc409080b11eaaeab509a4c8d0e6f19080,6693831,2020-02-16 09:56:56,PAYMENT,2a8b893fa2472ef,2500
e6312079e8b311e991c0509a4c8d0e6f19080,4088822,2020-01-07 12:38:17,PAYMENT,dbad01221f98931,2500
cfc4253ee8ba11e98a8d509a4c8d0cf318080,4090861,2020-01-07 13:27:46,PAYMENT,4d45cfeac2e7855,2400
b4ea01f6e1d111e99eff509a4c8d0caf19080,3541801,2019-12-28 18:24:01,PAYMENT,3c9c23defcaedf5,3600
